total_files,burst_files,total_size,burst_size,total_duration,burst_config_duration,burst_current_duration,burst_pause,burst_config_rate,burst_current_rate,algorithm
3,3,529595,529595,745.428,0,10.007,0,0.0,710.457,AES-CTR
3,3,536875,536875,755.449,0,10.016,0,0.0,710.670,AES-CTR
3,3,543595,543595,765.458,0,10.007,0,0.0,710.156,AES-CTR
3,3,551019,551019,775.483,0,10.016,0,0.0,710.549,AES-CTR
3,3,557259,557259,785.499,0,10.013,0,0.0,709.433,AES-CTR
3,3,563867,563867,795.540,0,10.039,0,0.0,708.785,AES-CTR
4,4,570618,570618,805.573,0,10.025,0,0.0,708.338,AES-CTR
4,4,577642,577642,815.597,0,10.021,0,0.0,708.244,AES-CTR
4,4,584378,584378,825.614,0,10.015,0,0.0,707.810,AES-CTR
5,5,591923,591923,835.632,0,10.011,0,0.0,708.354,AES-CTR
5,5,598595,598595,845.643,0,10.006,0,0.0,707.858,AES-CTR
5,5,605267,605267,855.653,0,10.006,0,0.0,707.374,AES-CTR
5,5,612227,612227,865.672,0,10.017,0,0.0,707.228,AES-CTR
5,5,619075,619075,875.682,0,10.008,0,0.0,706.963,AES-CTR
5,5,626051,626051,885.691,0,10.007,0,0.0,706.850,AES-CTR
5,5,633443,633443,895.708,0,10.014,0,0.0,707.198,AES-CTR
5,5,640307,640307,905.727,0,10.018,0,0.0,706.954,AES-CTR
6,6,647363,647363,915.735,0,10.006,0,0.0,706.932,AES-CTR
6,6,654275,654275,925.743,0,10.007,0,0.0,706.756,AES-CTR
6,6,661059,661059,935.752,0,10.006,0,0.0,706.447,AES-CTR
6,6,667859,667859,945.767,0,10.014,0,0.0,706.156,AES-CTR
6,6,674723,674723,955.782,0,10.013,0,0.0,705.938,AES-CTR
6,6,681491,681491,965.791,0,10.007,0,0.0,705.630,AES-CTR
6,6,688691,688691,975.813,0,10.021,0,0.0,705.761,AES-CTR
7,7,695426,695426,985.832,0,10.016,0,0.0,705.420,AES-CTR
8,8,702246,702246,995.847,0,10.010,0,0.0,705.175,AES-CTR
8,8,708934,708934,1005.849,0,10.001,0,0.0,704.812,AES-CTR
8,8,715926,715926,1015.863,0,10.012,0,0.0,704.747,AES-CTR
8,8,722886,722886,1025.889,0,10.024,0,0.0,704.644,AES-CTR
